Anonymized_Employee_ID	Product_S	Product_B	Product_C	total_sold	length(days)	days_with_sales(percen)	sales_per_day	unique_customers	unique_customers(percen)
FR_XYZ_S2073_QZ	0.44	0.26	0.3	3099	609	0.5	10.23	328	0.24206642066420664
FR_XYZ_S2074_AL	0.36	0.28	0.36	3810	606	0.5	12.57	310	0.22302158273381295
FR_XYZ_S2074_QZ	0.35	0.32	0.33	4440	606	0.51	14.46	340	0.2190721649484536
FR_XYZ_S2081_AL	0.34	0.33	0.33	3987	606	0.44	14.93	290	0.21513353115727002
FR_XYZ_S2081_QZ	0.33	0.33	0.33	3911	592	0.48	13.77	254	0.1946360153256705
FR_XYZ_S2082_AL	0.35	0.32	0.32	4279	609	0.49	14.26	357	0.2361111111111111
FR_XYZ_S2082_QZ	0.44	0.28	0.28	3618	599	0.5	11.98	240	0.15065913370998116
FR_XYZ_S2083_AL	0.35	0.33	0.33	4092	609	0.48	14.11	356	0.2514124293785311
FR_XYZ_S2083_QZ	0.35	0.32	0.33	4524	609	0.49	15.18	393	0.2517616912235746
FR_XYZ_S2084_AL	0.38	0.28	0.34	2894	596	0.39	12.31	208	0.18960802187784867
FR_XYZ_S2084_QZ	0.42	0.19	0.39	4036	609	0.49	13.5	305	0.17941176470588235
FR_XYZ_S2091_AL	0.35	0.32	0.33	3484	606	0.49	11.77	193	0.15755102040816327
FR_XYZ_S2091_QZ	0.34	0.33	0.33	3663	609	0.44	13.67	203	0.16085578446909668
FR_XYZ_S2092_AL	0.39	0.26	0.35	3314	606	0.5	10.97	283	0.21719109746738297
FR_XYZ_S2092_QZ	0.34	0.33	0.33	4299	603	0.44	16.1	286	0.19363574813811782
FR_XYZ_S2093_AL	0.34	0.32	0.34	4174	606	0.51	13.42	315	0.2207428170988087
FR_XYZ_S2093_QZ	0.35	0.32	0.33	3434	606	0.4	14.31	337	0.2834314550042052
FR_XYZ_S2094_AL	0.37	0.3	0.33	2318	450	0.44	11.71	287	0.3341094295692666
FR_XYZ_S2094_QZ	0.36	0.32	0.32	4245	606	0.5	13.87	323	0.2087912087912088
FR_XYZ_S2101_AL	0.33	0.33	0.33	4088	604	0.43	15.66	270	0.1978021978021978
FR_XYZ_S2101_QZ	0.33	0.33	0.33	335	108	0.29	10.81	101	0.9017857142857143
FR_XYZ_S2102_AL	0.33	0.33	0.33	3760	609	0.47	13.19	332	0.2647527910685805
FR_XYZ_S2102_QZ	0.33	0.33	0.33	96	35	0.31	8.73	32	1.0
FR_XYZ_S2103_AL	0.34	0.33	0.33	3636	606	0.49	12.33	247	0.20179738562091504
FR_XYZ_S2103_QZ	0.34	0.33	0.33	3561	599	0.43	13.8	256	0.213511259382819
FR_XYZ_S2104_AL	0.33	0.33	0.33	2781	600	0.39	12.04	242	0.26105717367853293
FR_XYZ_S2104_QZ	0.35	0.32	0.33	4381	540	0.51	15.99	323	0.21208141825344715
